dt,fplatformname,fuid,predict
2018-07-02,云南,21129356,1.0
2018-07-02,云南,20849408,0.0
2018-07-02,云南,20923616,0.0
2018-07-02,云南,20612484,0.0
2018-07-02,云南,18580623,0.0
2018-07-02,云南,20251856,0.0
2018-07-02,云南,16639829,1.0
2018-07-02,云南,11230019,0.0
2018-07-02,云南,19872734,0.0
2018-07-02,云南,17050827,0.0
2018-07-02,云南,20653163,0.0
2018-07-02,云南,17916596,1.0
2018-07-02,云南,21112299,0.0
2018-07-02,云南,20618906,0.0
2018-07-02,云南,17076316,0.0
2018-07-02,云南,14800026,0.0
2018-07-02,云南,18982654,1.0
2018-07-02,云南,21036794,0.0
2018-07-02,云南,17764144,0.0
2018-07-02,云南,18377060,0.0
2018-07-02,云南,20407381,0.0
2018-07-02,云南,19697773,0.0
2018-07-02,云南,7148377,0.0
2018-07-02,云南,10201123,0.0
2018-07-02,云南,4999951,0.0
2018-07-02,云南,8200174,0.0
2018-07-02,云南,17317429,0.0
2018-07-02,云南,7620585,0.0
2018-07-02,云南,20986885,0.0
2018-07-02,云南,17099044,0.0
2018-07-02,云南,19088455,0.0
2018-07-02,云南,16301483,0.0
2018-07-02,云南,6521845,0.0
2018-07-02,云南,7414031,0.0
2018-07-02,云南,10254010,1.0
2018-07-02,云南,6289020,0.0
2018-07-02,云南,12582747,0.0
2018-07-02,云南,20917416,0.0
2018-07-02,云南,20598354,0.0
2018-07-02,云南,21115423,0.0
2018-07-02,云南,20415306,0.0
2018-07-02,云南,20824939,0.0
2018-07-02,云南,18997763,0.0
2018-07-02,云南,19255167,0.0
2018-07-02,云南,6666011,0.0
2018-07-02,云南,21076003,0.0
2018-07-02,云南,7459911,0.0
2018-07-02,云南,20846536,0.0
2018-07-02,云南,7158162,0.0
2018-07-02,云南,11580257,0.0
2018-07-02,云南,19211640,0.0
2018-07-02,云南,18200328,0.0
2018-07-02,云南,20429402,0.0
2018-07-02,云南,20989507,0.0
2018-07-02,云南,17187759,0.0
2018-07-02,云南,5391986,0.0
2018-07-02,云南,8203005,0.0
2018-07-02,云南,6694390,0.0
2018-07-02,云南,8997996,0.0
2018-07-02,云南,18705634,0.0
2018-07-02,云南,20850433,0.0
2018-07-02,云南,18437603,0.0
2018-07-02,云南,6376513,0.0
2018-07-02,云南,19572233,0.0
2018-07-02,云南,5135405,0.0
2018-07-02,云南,21005855,0.0
2018-07-02,云南,16610074,0.0
2018-07-02,云南,11052277,0.0
2018-07-02,云南,8506852,0.0
2018-07-02,云南,20445147,1.0
2018-07-02,云南,11235629,1.0
2018-07-02,云南,8149084,0.0
2018-07-02,云南,19111211,0.0
2018-07-02,云南,21059754,0.0
