fuid,fplatformname,label_score,lifespan,signup_to_now_days,total_silver_coin,total_gold_bar,carrying_silver_coin,carrying_gold_bar,safebox_silver_coin,safebox_gold_bar,if_vip,play_duration_life,play_duration_30day,play_duration_7day,play_innings_life,play_innings_30day,play_innings_7day,win_innings_life,win_innings_7day,lose_innings_life,lose_innings_7day,win_rate_life,win_rate_7day,pay_count_life,pay_count_30day,pay_count_7day,pay_sum_life,pay_sum_30day,pay_sum_7day,login_count_life,login_count_7day,bankrupt_count_life,bankrupt_count_7day,relieve_count_life,relieve_silver_coins_life,match_innings_life,match_duration_life,match_win_rate_life,recent_login_series_days,latest_play_coins_win,latest_play_coins_lose,last_active_to_now_days,last_pay_to_now_days,if_away,dt
21129356,云南,9,1,4,2310,0,2310,0,0,0,0,562,562,562,9,9,9,3,3,6,6,0.3333,0.3333,0,0,0,0.00,0.00,0.00,1,1,3,3,1,8000,0,0,1.0000,0,0,7200,3,0,1,2018-07-02
20849408,云南,8,66,66,16198,0,16198,0,0,0,0,33719,7453,0,1612,351,0,718,0,777,0,0.4454,0.0000,0,0,0,0.00,0.00,0.00,196,7,82,0,75,600000,0,0,1.0000,2,0,12000,0,0,0,2018-07-02
20923616,云南,8,50,51,26310,0,26310,0,0,0,0,51070,32481,2540,940,726,89,416,42,479,44,0.4426,0.4884,0,0,0,0.00,0.00,0.00,110,4,26,3,21,168000,0,0,1.0000,0,0,3000,1,0,1,2018-07-02
20612484,云南,8,105,105,2860,0,2860,0,0,0,0,66312,16103,2765,593,127,19,288,2,295,15,0.4857,0.1176,0,0,0,0.00,0.00,0.00,49,4,13,2,9,72000,0,0,1.0000,2,0,500,0,0,0,2018-07-02
18580623,云南,5,295,295,1000,34,1000,34,0,0,0,396725,25280,2388,6462,363,36,1994,19,3643,16,0.3086,0.5429,37,3,1,35.00,6.00,2.00,265,3,196,6,130,1040000,1769,110306,0.0175,1,0,27812,0,0,1,2018-07-02
20251856,云南,8,145,148,41578,303,15727,176,25851,127,0,200802,12640,1020,1941,122,10,769,5,1113,4,0.3962,0.5556,0,0,0,0.00,0.00,0.00,177,3,5,0,1,8000,792,67473,0.4381,0,0,300,3,0,0,2018-07-02
16639829,云南,8,368,368,0,74,0,74,0,0,0,302508,35754,19704,2305,208,106,1027,51,1216,48,0.4456,0.5152,1,0,0,0.50,0.00,0.00,364,15,503,42,208,1664000,1991,247560,0.0226,1,0,7600,0,310,0,2018-07-02
11230019,云南,8,437,437,31502,9,31502,9,0,0,0,1431522,21930,2688,8146,92,12,3159,8,4483,3,0.3878,0.7273,0,0,0,0.00,0.00,0.00,1451,4,497,0,426,3408000,4096,619510,0.0054,1,0,2000,0,0,0,2018-07-02
19872734,云南,8,193,194,2000,0,2000,0,0,0,0,244897,68870,2552,2349,792,29,1240,11,942,18,0.5279,0.3793,0,0,0,0.00,0.00,0.00,167,2,56,2,30,240000,0,0,1.0000,0,0,8364,1,0,0,2018-07-02
17050827,云南,8,359,359,39945,0,16979,0,22966,0,0,295468,54228,19431,2479,458,154,626,63,1441,60,0.2525,0.5122,6,0,0,18.00,0.00,0.00,306,21,68,0,56,448000,1576,189992,0.0216,5,0,0,0,203,0,2018-07-02
20653163,云南,9,98,98,24043,0,24043,0,0,0,0,152762,1475,667,1427,7,3,665,1,747,2,0.4660,0.3333,4,0,0,3.50,0.00,0.00,164,1,26,0,19,152000,0,0,1.0000,1,0,2000,0,92,0,2018-07-02
17916596,云南,8,324,326,0,0,0,0,0,0,0,369905,12022,5670,5694,155,64,2637,23,2912,41,0.4631,0.3594,0,0,0,0.00,0.00,0.00,432,11,253,7,231,1848000,1908,85678,0.0000,0,0,4217,2,0,0,2018-07-02
21112299,云南,9,2,8,1000,0,1000,0,0,0,0,2170,2170,1653,106,106,82,57,45,43,31,0.5377,0.5921,0,0,0,0.00,0.00,0.00,10,4,7,3,5,40000,0,0,1.0000,0,0,34434,6,0,1,2018-07-02
20618906,云南,8,104,104,400817,35,100313,35,300504,0,0,123790,10844,3696,1678,187,70,505,22,846,33,0.3010,0.4000,0,0,0,0.00,0.00,0.00,151,3,28,0,27,216000,50,3957,0.3800,1,0,25,0,0,0,2018-07-02
17076316,云南,8,358,358,20060,70,20060,70,0,0,0,705768,66040,66040,5593,475,475,1517,116,3942,349,0.2712,0.2495,5,0,0,4.00,0.00,0.00,421,35,234,0,48,384000,3639,462805,0.0300,8,0,4,0,143,0,2018-07-02
14800026,云南,9,386,387,8000,13,8000,13,0,0,0,119516,986,986,902,10,10,274,3,578,7,0.3038,0.3000,1,0,0,0.50,0.00,0.00,70,1,37,0,23,184000,653,86408,0.0398,0,0,600,1,111,1,2018-07-02
18982654,云南,6,267,267,18410,0,18410,0,0,0,0,1404118,350037,102755,12241,3205,962,3201,237,8812,708,0.2615,0.2508,0,0,0,0.00,0.00,0.00,1132,90,2,0,2,16000,1323,168774,0.0000,13,0,2,0,0,0,2018-07-02
