fuid,fplatformname,label_score,lifespan,signup_to_now_days,total_silver_coin,total_gold_bar,carrying_silver_coin,carrying_gold_bar,safebox_silver_coin,safebox_gold_bar,if_vip,play_duration_life,play_duration_30day,play_duration_7day,play_innings_life,play_innings_30day,play_innings_7day,win_innings_life,win_innings_7day,lose_innings_life,lose_innings_7day,win_rate_life,win_rate_7day,pay_count_life,pay_count_30day,pay_count_7day,pay_sum_life,pay_sum_30day,pay_sum_7day,login_count_life,login_count_7day,bankrupt_count_life,bankrupt_count_7day,relieve_count_life,relieve_silver_coins_life,match_innings_life,match_duration_life,match_win_rate_life,recent_login_series_days,latest_play_coins_win,latest_play_coins_lose,last_active_to_now_days,last_pay_to_now_days,if_away,dt
19643563,云南,8,215,218,0,31,0,31,0,0,0,83123,23126,327,1724,213,2,591,0,1048,2,0.3428,0.0000,1,0,0,0.50,0.00,0.00,114,1,77,1,63,504000,68,5298,0.6324,0,0,3520,3,174,0,2018-07-02
21140588,云南,9,2,2,60175,0,2199,0,57976,0,0,10066,10066,10066,76,76,76,17,17,44,44,0.2237,0.2787,0,0,0,0.00,0.00,0.00,15,15,5,5,5,40000,0,0,1.0000,2,0,2400,0,0,0,2018-07-02
20575943,云南,8,108,110,259237,10,259237,10,0,0,0,434777,17394,2094,2800,120,10,1255,3,1444,6,0.4482,0.3333,21,0,0,91.00,0.00,0.00,155,2,42,0,26,208000,8,570,0.3750,0,0,36000,2,38,0,2018-07-02
20794575,云南,8,76,76,5932,86,5932,86,0,0,0,111973,54532,7424,1148,485,74,403,22,712,50,0.3510,0.3056,0,0,0,0.00,0.00,0.00,145,19,219,13,76,608000,145,11465,0.4552,2,0,2800,0,0,0,2018-07-02
10166206,云南,9,465,469,0,0,0,0,0,0,0,40039,711,441,1423,25,13,651,5,764,8,0.4575,0.3846,0,0,0,0.00,0.00,0.00,80,3,106,3,80,640000,1275,33265,0.0000,0,0,13460,4,0,0,2018-07-02
20517072,云南,5,115,117,2540,0,2540,0,0,0,0,36636,11056,153,935,453,5,413,0,454,5,0.4417,0.0000,8,5,0,11.50,7.00,0.00,109,2,94,1,64,512000,0,0,1.0000,0,0,1300,2,15,0,2018-07-02
20858932,云南,9,64,64,30120,0,30120,0,0,0,0,17930,993,299,703,45,14,311,7,328,4,0.4424,0.6364,0,0,0,0.00,0.00,0.00,43,1,6,1,6,48000,0,0,1.0000,1,3000,0,0,0,0,2018-07-02
21084628,云南,8,10,15,2460,0,2460,0,0,0,0,8726,8683,67,218,216,3,95,0,103,3,0.4358,0.0000,0,0,0,0.00,0.00,0.00,16,2,20,3,13,104000,0,0,1.0000,0,0,6000,5,0,1,2018-07-02
7089045,云南,8,520,521,7043,0,7043,0,0,0,0,1359030,80272,11346,16474,984,140,7264,52,9177,88,0.4409,0.3714,6,0,0,7.50,0.00,0.00,1626,14,719,7,547,4376000,11326,953247,0.0004,0,0,540,1,355,0,2018-07-02
19888253,云南,9,192,192,0,0,0,0,0,0,0,102640,2376,1236,3174,91,45,968,21,2140,21,0.3050,0.5000,0,0,0,0.00,0.00,0.00,268,3,106,1,100,800000,0,0,1.0000,1,0,14353,0,0,0,2018-07-02
20305355,云南,8,138,142,18548,0,18548,0,0,0,0,224772,8445,1963,2569,91,21,1061,8,1504,13,0.4130,0.3810,25,0,0,14.00,0.00,0.00,287,3,142,0,99,792000,0,0,1.0000,0,0,1080,4,59,0,2018-07-02
17543425,云南,9,336,341,2300,0,2300,0,0,0,0,161424,6601,523,2881,120,6,1177,0,1419,3,0.4085,0.0000,2,0,0,4.00,0.00,0.00,360,1,274,2,226,1808000,1167,56380,0.0000,0,0,6000,5,135,1,2018-07-02
20441062,云南,9,124,127,5900,0,5900,0,0,0,0,10992,514,0,80,4,0,12,0,68,0,0.1500,0.0000,0,0,0,0.00,0.00,0.00,22,1,5,0,5,40000,0,0,1.0000,0,0,1000,3,0,1,2018-07-02
21066197,云南,8,19,19,27631,0,1366,0,26265,0,0,60955,60860,20160,638,637,202,268,79,370,123,0.4201,0.3911,0,0,0,0.00,0.00,0.00,71,27,19,8,16,128000,0,0,1.0000,20,0,4320,0,0,0,2018-07-02
19546958,云南,8,227,227,361616,200,361616,200,0,0,0,246686,75203,17382,1645,519,124,772,66,759,53,0.4693,0.5546,1,0,0,2.00,0.00,0.00,174,10,89,0,27,216000,8,1310,0.1250,7,0,4400,0,44,0,2018-07-02
5745915,云南,9,555,555,217690,0,25560,0,192130,0,0,226420,91,91,4399,3,3,1825,2,2372,1,0.4149,0.6667,4,0,0,12.00,0.00,0.00,395,1,10,0,1,8000,3887,203830,0.0000,1,6400,0,0,552,0,2018-07-02
18653253,云南,8,291,291,15904,10,15904,10,0,0,0,178103,41689,9805,1519,305,70,556,22,841,37,0.3660,0.3729,0,0,0,0.00,0.00,0.00,199,10,108,3,89,712000,507,28992,0.0079,2,0,8000,0,0,0,2018-07-02
4334014,云南,8,606,607,2610,0,2610,0,0,0,0,343526,8841,1005,3186,87,9,1499,1,1627,8,0.4705,0.1111,10,0,0,54.00,0.00,0.00,377,4,381,5,155,1240000,2004,203175,0.0704,0,0,6000,1,384,1,2018-07-02
19920299,云南,5,186,188,2329,38,2329,38,0,0,0,97552,11475,457,2141,339,20,1037,9,1019,8,0.4844,0.5294,14,3,0,14.50,3.00,0.00,126,2,226,2,84,672000,10,900,0.5000,0,0,15000,2,8,0,2018-07-02
20200198,云南,8,155,155,15020,0,15020,0,0,0,0,21363,14341,1231,219,132,26,65,9,143,17,0.2968,0.3462,0,0,0,0.00,0.00,0.00,44,3,9,2,9,72000,0,0,1.0000,1,0,1000,0,0,1,2018-07-02
21103723,云南,9,10,10,13000,32,13000,32,0,0,0,3568,2417,2417,45,31,31,23,16,22,15,0.5111,0.5161,0,0,0,0.00,0.00,0.00,6,4,0,0,0,0,45,3568,0.5111,2,0,600,0,0,0,2018-07-02
18261274,云南,8,310,311,0,0,0,0,0,0,0,18786,6239,3762,438,245,148,174,55,235,79,0.3973,0.4104,0,0,0,0.00,0.00,0.00,43,12,20,6,17,136000,116,10411,0.0000,0,0,7855,1,0,1,2018-07-02
19880225,云南,9,193,193,125608,0,910,0,124698,0,0,115397,5555,376,735,38,3,320,1,379,2,0.4354,0.3333,0,0,0,0.00,0.00,0.00,316,6,175,0,68,544000,0,0,1.0000,1,0,3000,0,0,0,2018-07-02
20491370,云南,8,121,121,35809,0,9379,0,26430,0,0,186114,21707,21707,2124,170,170,693,49,1323,120,0.3263,0.2899,5,0,0,38.00,0.00,0.00,148,17,34,3,15,120000,0,0,1.0000,7,0,1000,0,104,0,2018-07-02
8705349,云南,8,481,481,12862,0,10220,0,2642,0,0,53855,10329,1139,774,68,7,331,3,430,4,0.4276,0.4286,0,0,0,0.00,0.00,0.00,221,6,67,0,33,264000,496,18216,0.0000,2,0,1800,0,0,0,2018-07-02
