fuid,fplatformname,label_score,lifespan,signup_to_now_days,total_silver_coin,total_gold_bar,carrying_silver_coin,carrying_gold_bar,safebox_silver_coin,safebox_gold_bar,if_vip,play_duration_life,play_duration_30day,play_duration_7day,play_innings_life,play_innings_30day,play_innings_7day,win_innings_life,win_innings_7day,lose_innings_life,lose_innings_7day,win_rate_life,win_rate_7day,pay_count_life,pay_count_30day,pay_count_7day,pay_sum_life,pay_sum_30day,pay_sum_7day,login_count_life,login_count_7day,bankrupt_count_life,bankrupt_count_7day,relieve_count_life,relieve_silver_coins_life,match_innings_life,match_duration_life,match_win_rate_life,recent_login_series_days,latest_play_coins_win,latest_play_coins_lose,last_active_to_now_days,last_pay_to_now_days,if_away,dt
20177144,云南,6,158,158,9954,193,9954,193,0,0,0,509469,85779,10500,4877,564,73,2064,34,2733,37,0.4232,0.4789,86,0,0,124.50,0.00,0.00,468,8,472,1,226,1808000,1086,80114,0.4540,3,2000,0,0,49,0,2018-07-02
14930282,云南,6,386,386,8583,47,8583,47,0,0,0,421066,78904,24465,5341,834,276,2147,121,2982,155,0.4020,0.4384,30,0,0,72.00,0.00,0.00,429,36,235,12,200,1600000,2358,109716,0.1438,19,0,2160,0,32,0,2018-07-02
20030264,云南,6,175,175,9808,0,9808,0,0,0,1,447496,78213,14081,5217,888,163,1842,61,2382,68,0.3531,0.4729,0,0,0,0.00,0.00,0.00,276,10,90,7,87,696000,0,0,1.0000,126,0,2400,0,0,0,2018-07-02
6257505,云南,5,539,540,39204,9,39204,9,0,0,0,2965312,63282,18604,44807,955,274,21622,133,22712,140,0.4826,0.4872,913,17,8,2178.50,77.00,25.50,3325,19,611,0,307,2456000,43855,2914583,0.3909,0,0,700,1,1,0,2018-07-02
18527093,云南,5,297,298,113442,7,113442,7,0,0,0,1094319,106564,11342,18613,1387,151,7132,89,8479,54,0.3832,0.6224,113,5,0,79.00,4.00,0.00,912,8,650,2,476,3808000,3346,195281,0.0132,0,0,5400,1,13,0,2018-07-02
5024991,云南,5,578,578,16550,9,16550,9,0,0,0,1029839,55616,17170,13841,1019,452,6282,207,7369,210,0.4539,0.4964,65,10,2,232.00,17.00,4.00,1320,22,249,0,143,1144000,12689,967084,0.0084,1,0,144,0,4,0,2018-07-02
11814452,云南,6,420,420,134308,0,15000,0,119308,0,0,248453,102084,29946,1853,761,224,518,67,1313,155,0.2795,0.3018,0,0,0,0.00,0.00,0.00,244,24,44,0,40,320000,407,52945,0.0000,2,0,1000,0,0,0,2018-07-02
20020046,云南,6,177,177,9075,9,9075,9,0,0,0,472418,79588,20012,5579,991,262,1949,72,2634,118,0.3493,0.3789,0,0,0,0.00,0.00,0.00,528,21,225,15,200,1600000,1298,102241,0.4738,18,0,6300,0,0,0,2018-07-02
20465144,云南,3,124,124,81321,0,17425,0,63896,0,1,264976,84008,16999,12302,3895,788,5669,362,5732,379,0.4608,0.4885,55,35,12,89.00,59.50,16.50,423,32,279,24,225,1800000,0,0,1.0000,40,0,6000,0,0,0,2018-07-02
21006291,云南,3,32,32,2360,1,2360,1,0,0,1,148874,139227,12732,2655,2514,148,1197,51,1355,95,0.4508,0.3493,10,10,0,11.00,11.00,0.00,186,18,151,15,76,608000,403,33796,0.5211,33,0,600,0,12,0,2018-07-02
8538653,云南,6,486,486,5598268,0,16695,0,5581573,0,1,2678100,79309,21633,32293,714,199,12927,99,17740,92,0.4003,0.5183,1,0,0,50.00,0.00,0.00,1709,27,8,0,6,48000,20170,1513850,0.0000,11,1995,0,0,483,0,2018-07-02
4955225,云南,6,580,580,497862,95,40850,95,457012,0,1,1885735,230339,53470,15293,2405,545,5841,191,8288,298,0.3819,0.3906,0,0,0,0.00,0.00,0.00,1698,40,67,0,44,352000,9773,1248257,0.0191,60,0,8000,0,0,0,2018-07-02
6853231,云南,6,527,527,1147153,2,36809,2,1110344,0,0,1948632,86664,20574,24109,796,191,11339,101,12399,87,0.4703,0.5372,10,1,0,11.00,0.50,0.00,1826,18,3,0,0,0,22630,1709906,0.3092,23,0,3000,0,13,0,2018-07-02
5505547,云南,6,562,562,307919,0,6700,0,301219,0,1,689750,76172,15344,14101,777,137,5482,34,8408,99,0.3888,0.2556,38,0,0,183.00,0.00,0.00,1138,23,398,0,348,2784000,1357,78807,0.0052,35,0,1000,0,89,0,2018-07-02
4294138,云南,6,609,609,857157,0,3300,0,853857,0,1,1250683,56364,24737,11308,554,228,3501,67,6906,144,0.3096,0.3175,0,0,0,0.00,0.00,0.00,1630,31,7,0,5,40000,6740,730222,0.0052,22,0,2000,0,0,0,2018-07-02
17481814,云南,3,344,344,0,0,0,0,0,0,0,1359820,128191,19233,17966,1479,219,7659,120,10089,99,0.4263,0.5479,224,9,3,182.00,4.50,1.50,1187,24,992,11,508,4064000,5311,502451,0.0000,25,0,5039,0,0,0,2018-07-02
20675388,云南,6,95,95,1429734,0,198792,0,1230942,0,1,547600,169737,34762,3330,1100,245,1087,77,1817,129,0.3264,0.3738,7,0,0,8.00,0.00,0.00,844,48,6,0,3,24000,0,0,1.0000,96,0,2000,0,39,0,2018-07-02
7976871,云南,5,498,503,1000,8,1000,8,0,0,0,115564,27840,537,2001,388,24,827,12,1121,11,0.4133,0.5217,21,15,0,24.00,18.00,0.00,181,1,224,2,116,928000,1597,87870,0.1334,0,0,40595,5,12,1,2018-07-02
19682030,云南,6,213,214,10279,0,10279,0,0,0,0,2850443,262490,52047,23624,2354,474,7393,150,15757,311,0.3129,0.3254,0,0,0,0.00,0.00,0.00,884,19,2,0,2,16000,0,0,1.0000,0,0,1,1,0,0,2018-07-02
