fuid,fplatformname,label_score,lifespan,signup_to_now_days,total_silver_coin,total_gold_bar,carrying_silver_coin,carrying_gold_bar,safebox_silver_coin,safebox_gold_bar,if_vip,play_duration_life,play_duration_30day,play_duration_7day,play_innings_life,play_innings_30day,play_innings_7day,win_innings_life,win_innings_7day,lose_innings_life,lose_innings_7day,win_rate_life,win_rate_7day,pay_count_life,pay_count_30day,pay_count_7day,pay_sum_life,pay_sum_30day,pay_sum_7day,login_count_life,login_count_7day,bankrupt_count_life,bankrupt_count_7day,relieve_count_life,relieve_silver_coins_life,match_innings_life,match_duration_life,match_win_rate_life,recent_login_series_days,latest_play_coins_win,latest_play_coins_lose,last_active_to_now_days,last_pay_to_now_days,if_away,dt
6631131,云南,8,531,532,98822,0,98822,0,0,0,0,610591,10868,6473,10656,247,76,4041,37,6509,38,0.3792,0.4933,16,0,0,40.00,0.00,0.00,815,3,127,0,99,792000,9546,527050,0.0005,0,9820,0,1,225,0,2018-07-02
11106272,云南,8,440,441,550,0,550,0,0,0,0,187584,13024,607,3730,174,7,1531,2,2025,5,0.4105,0.2857,10,0,0,18.50,0.00,0.00,228,1,179,1,135,1080000,1844,52583,0.0000,0,0,2700,1,89,0,2018-07-02
18632502,云南,8,290,292,235206,157,1820,157,233386,0,0,81852,24246,1254,1928,407,41,872,18,902,19,0.4523,0.4865,0,0,0,0.00,0.00,0.00,111,4,57,0,46,368000,1252,50154,0.1118,0,0,3000,2,0,0,2018-07-02
20307484,云南,6,141,141,644361,0,3315,0,641046,0,1,896467,151936,34537,11846,1893,434,5495,215,6333,219,0.4639,0.4954,0,0,0,0.00,0.00,0.00,621,35,6,0,5,40000,0,0,1.0000,134,0,4320,0,0,0,2018-07-02
20812280,云南,8,73,73,3953,0,3953,0,0,0,0,75173,47893,17765,421,274,106,92,31,309,72,0.2185,0.3010,1,1,0,0.50,0.50,0.00,62,15,22,3,18,144000,0,0,1.0000,2,0,7860,0,12,1,2018-07-02
20899633,云南,3,56,56,146621,0,2573,0,144048,0,0,237831,97770,16110,4190,1158,233,1494,71,2334,143,0.3566,0.3318,23,4,1,58.50,30.00,20.00,256,9,75,2,48,384000,0,0,1.0000,2,0,1000,0,3,0,2018-07-02
20991567,云南,8,31,36,24000,0,24000,0,0,0,0,103420,84151,3175,1115,907,32,310,7,782,24,0.2780,0.2258,0,0,0,0.00,0.00,0.00,146,5,0,0,0,0,0,0,1.0000,0,0,1,5,0,0,2018-07-02
20451979,云南,8,124,126,7840,0,7840,0,0,0,0,473369,18458,495,4254,193,5,1948,2,2085,3,0.4579,0.4000,36,0,0,18.00,0.00,0.00,397,3,374,0,183,1464000,0,0,1.0000,0,0,4320,2,68,0,2018-07-02
21089007,云南,8,14,14,974,0,974,0,0,0,0,12633,12457,4223,431,425,134,173,46,217,78,0.4014,0.3710,1,1,0,2.00,2.00,0.00,47,18,48,19,38,304000,0,0,1.0000,15,0,8600,0,10,0,2018-07-02
19525984,云南,8,226,229,0,10,0,10,0,0,0,143809,22007,2541,2182,223,27,724,10,1458,17,0.3318,0.3704,1,0,0,0.50,0.00,0.00,189,1,103,3,90,720000,18,1218,0.1667,0,0,8024,3,228,1,2018-07-02
17645142,云南,6,337,337,76909,0,14240,0,62669,0,0,923658,109508,32628,10777,1323,404,5335,203,5194,201,0.4950,0.5025,3,0,0,6.00,0.00,0.00,1056,35,93,3,48,384000,2294,361881,0.0000,27,0,2160,0,303,0,2018-07-02
8418966,云南,6,489,489,23177,0,23177,0,0,0,1,619365,75652,18686,12259,977,225,5644,103,6470,122,0.4604,0.4578,19,0,0,21.50,0.00,0.00,1363,41,818,16,662,5296000,5693,180467,0.0065,17,0,540,0,107,0,2018-07-02
4388407,云南,8,603,604,6864,0,6864,0,0,0,0,1118390,20147,0,10721,129,0,3872,0,6748,0,0.3612,0.0000,34,0,0,62.00,0.00,0.00,2197,4,750,0,347,2776000,9493,966484,0.0061,0,0,1800,1,42,0,2018-07-02
21087568,云南,8,10,14,9368,0,9368,0,0,0,0,39450,39450,9933,241,241,64,65,19,170,44,0.2697,0.3016,0,0,0,0.00,0.00,0.00,24,3,8,1,8,64000,0,0,1.0000,0,0,16000,4,0,1,2018-07-02
13542317,云南,8,394,394,231130,427,31630,427,199500,0,1,732959,40549,9740,8468,452,108,3894,48,4470,60,0.4598,0.4444,6,0,0,7.50,0.00,0.00,1508,11,40,0,37,296000,7243,629991,0.3853,4,0,1056,0,127,0,2018-07-02
20774586,云南,6,79,79,8866,94,8866,94,0,0,1,357734,149329,36587,1874,686,164,853,83,913,79,0.4552,0.5123,8,1,0,17.00,2.00,0.00,324,43,12,0,9,72000,89,6768,0.4719,35,0,6000,0,27,0,2018-07-02
19473682,云南,8,233,233,2279,0,2279,0,0,0,0,929418,66755,25844,11540,860,335,5352,159,6182,176,0.4638,0.4746,16,0,0,48.00,0.00,0.00,1080,27,381,10,337,2696000,229,18612,0.0000,11,0,4320,0,123,0,2018-07-02
