fiona_7_5_5.mid,fiona_7_5_5.label_score,fiona_7_5_5.loss,fiona_7_5_5.play_duration,fiona_7_5_5.total_innings,fiona_7_5_5.pay_count,fiona_7_5_5.pay_sum,fiona_7_5_5.bankrupt_count,fiona_7_5_5.login_count,fiona_7_5_5.win_innings,fiona_7_5_5.lose_innings,fiona_7_5_5.win_rate,fiona_7_5_5.lifespan,fiona_7_5_5.signup_to_now_days,fiona_7_5_5.total_silver_coin,fiona_7_5_5.total_gold_bar,fiona_7_5_5.carrying_silver_coin,fiona_7_5_5.carrying_gold_bar,fiona_7_5_5.safebox_silver_coin,fiona_7_5_5.safebox_gold_bar,fiona_7_5_5.match_innings,fiona_7_5_5.match_duration,fiona_7_5_5.match_win_rate,fiona_7_5_5.carrying_items_value,fiona_7_5_5.vip_level,fiona_7_5_5.vip_left_days,fiona_7_5_5.relieve_count,fiona_7_5_5.relieve_silver_coins,fiona_7_5_5.last_active_to_now_days,fiona_7_5_5.last_pay_to_now_days,fiona_7_5_5.recent_login_series_days,fiona_7_5_5.latest_play_coins,fiona_7_5_5.play_duration_7d,fiona_7_5_5.innings_7d,fiona_7_5_5.pay_count_7d,fiona_7_5_5.pay_sum_7d,fiona_7_5_5.play_duration_30d,fiona_7_5_5.innings_30d,fiona_7_5_5.pay_count_30d,fiona_7_5_5.pay_sum_30d,fiona_7_5_5.bankrupt_count_7d,fiona_7_5_5.login_count_7d,fiona_7_5_5.win_innings_7d,fiona_7_5_5.lose_innings_7d,fiona_7_5_5.win_rate_7d
19371972,6,0,1523492,4178,1,2.00,146,990,1924,1952,0.46,244,244,170513,0,30313,0,140200,0,484,67809,0.0,NULL,NULL,20,133,1064000,18,-150,12,4800,35079,85,0,0.00,169800,403,0,0.00,NULL,60,40,42,0.47
11368384,5,0,355155,5531,20,87.00,235,631,2168,2800,0.39,420,436,12037,0,12037,0,0,0,4053,291657,0.0,NULL,NULL,NULL,179,1432000,2,-185,0,0,298,2,0,0.00,12056,82,0,0.00,1,2,0,2,0.00
11246134,6,0,931597,12235,1,2.00,184,776,6083,6013,0.5,440,440,187798,296,187798,296,0,0,9882,551663,0.06,NULL,NULL,NULL,128,1024000,18,-420,6,2280,4303,34,0,0.00,29092,201,0,0.00,NULL,11,14,20,0.41
1002332073,6,0,456633,5803,0,0.00,235,722,2626,2948,0.45,244,244,28304,129,28304,129,0,0,337,26827,0.2,NULL,NULL,NULL,137,738000,18,NULL,1,-2800,10149,145,0,0.00,53338,754,0,0.00,1,31,70,75,0.48
17483727,6,0,817693,8054,0,0.00,14,734,1977,5593,0.25,345,347,824524,0,22828,0,801696,0,4915,564986,0.0,NULL,NULL,NULL,13,104000,16,NULL,0,5278,1689,13,0,0.00,6904,70,0,0.00,NULL,2,1,9,0.08
10066179,6,0,1246277,9174,0,0.00,420,813,3281,5476,0.36,475,475,0,0,0,0,0,0,4991,752145,0.0,NULL,NULL,NULL,333,2664000,18,NULL,13,-24137,12303,131,0,0.00,43808,480,0,0.00,12,26,58,73,0.44
20579167,6,0,1430424,8358,0,0.00,159,691,4351,3805,0.52,112,112,45585,0,23093,0,22492,0,504,74660,0.53,NULL,NULL,NULL,88,704000,18,NULL,113,2880,43366,321,0,0.00,254844,1589,0,0.00,NULL,43,167,146,0.52
19926962,1,0,1265303,27162,127,493.00,448,934,7588,19537,0.28,190,190,268238,220,122050,220,146188,0,3759,311383,0.49,NULL,NULL,20,159,1272000,18,-4,20,-500,14630,173,2,4.00,132281,1623,19,36.50,NULL,18,76,93,0.44
10841027,6,0,2112804,20479,0,0.00,1550,5148,6645,13091,0.32,450,451,1000,0,1000,0,0,0,10658,906356,0.0,NULL,NULL,NULL,1142,9136000,17,NULL,0,-14100,12947,126,0,0.00,47765,803,0,0.00,11,76,56,68,0.44
4894423,3,0,1000850,10475,11,54.00,498,763,5268,5048,0.5,585,585,780,69,780,69,0,0,5520,562996,0.01,NULL,NULL,NULL,375,3000000,18,-57,1,-7760,29091,370,0,0.00,151499,1689,0,0.00,11,71,198,172,0.54
