terminaltypefsk,platformname,terminaltypename,platformfsk,gamename,fdate,versionname,versionfsk,gamefsk,mip,mpu,avgmpu,marppu,marpu,mspu_ip
600000,70000075,600000,70000075,4530170387,2016-03,4620470577,4620470577,4530170387,0,0,0,0,0,0
600000,70000075,600000,70000075,4530170387,2016-07,4620470577,4620470577,4530170387,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2016-02,4394627121,4394627121,1396902,"3,102.64",843,49,3.6805,"3,102.64","2,306.71"
600001,58606667,600001,58606667,1396902,2016-02,4620470525,4620470525,1396902,437.89,149,8,2.9389,437.89,257.46
600001,58606667,600001,58606667,1396902,2016-04,4446851393,4446851393,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2016-05,4215784943,4215784943,1396902,"11,687.78","1,549",102,7.5454,0.1926,"5,046.3"
600001,58606667,600001,58606667,1396902,2016-05,4620470567,4620470567,1396902,970.72,238,15,4.0787,0.2383,517.74
600001,58606667,600001,58606667,1396902,2016-06,4620470525,4620470525,1396902,168.81,77,4,2.1923,0.0658,104.68
600001,58606667,600001,58606667,1396902,2016-08,4446851393,4446851393,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2016-10,4446851392,4446851392,1396902,"14,950.3","2,820",170,5.3015,0.3557,"7,473"
600001,58606667,600001,58606667,1396902,2016-10,4620470565,4620470565,1396902,45.29,1,0,45.29,1.1918,0
600001,58606667,600001,58606667,1396902,2016-10,4620470681,4620470681,1396902,"49,600.97","8,445",524,5.8734,0.243,"21,562"
600001,58606667,600001,58606667,1396902,2016-12,550054,550054,1396902,0.94,1,0,0.94,0.0553,0
600001,58606667,600001,58606667,1396902,2016-12,3792577594,3792577594,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2016-12,4270597459,4270597459,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-01,4394627121,4394627121,1396902,"1,436.87",467,26,3.0768,0.1639,923
600001,58606667,600001,58606667,1396902,2017-02,550054,550054,1396902,228.8,119,6,1.9227,0.1189,212
600001,58606667,600001,58606667,1396902,2017-02,3792577594,3792577594,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-02,4272994532,4272994532,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-04,4446851392,4446851392,1396902,"4,318.89",770,53,5.6089,0.0849,"1,380"
600001,58606667,600001,58606667,1396902,2017-06,550054,550054,1396902,141.86,43,2,3.2991,0.0876,76
600001,58606667,600001,58606667,1396902,2017-06,3792577594,3792577594,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-06,4215784943,4215784943,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-08,4446851392,4446851392,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-08,4620470681,4620470681,1396902,430.77,2,0,215.385,0.006,0
600001,58606667,600001,58606667,1396902,2017-09,4620470525,4620470525,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-10,4446851393,4446851393,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-11,4620470567,4620470567,1396902,1.72,2,0,0.86,0.0105,1
600001,58606667,600001,58606667,1396902,2017-12,3,3,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-12,4394627121,4394627121,1396902,714.78,236,14,3.0287,0.1307,515
600001,58606667,600001,58606667,1396902,2018-02,4296224839,4296224839,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2018-03,550054,550054,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2018-04,4394627121,4394627121,1396902,423.75,100,17,4.2375,0.1939,235
600001,58606669,600001,58606669,1396902,2016-05,4620470681,4620470681,1396902,58.59,26,1,2.2535,0.0229,36.69
600001,58606669,600001,58606669,1396902,2016-07,4215784943,4215784943,1396902,0,0,0,0,0,0
600001,58606669,600001,58606669,1396902,2016-09,4620470681,4620470681,1396902,0,0,0,0,0,0
600001,58606669,600001,58606669,1396902,2016-12,4620470681,4620470681,1396902,0,0,0,0,0,0
600001,58606671,600001,58606671,1396902,2016-05,4215784943,4215784943,1396902,26.92,1,0,26.92,0.0035,26.92
600001,58606671,600001,58606671,1396902,2016-07,4620470681,4620470681,1396902,6.69,1,0,6.69,0.0018,6.7
600001,58606671,600001,58606671,1396902,2016-09,4215784943,4215784943,1396902,0,0,0,0,0,0
600001,58606671,600001,58606671,1396902,2016-10,4620470681,4620470681,1396902,0.94,1,0,0.94,0.0004,0
600001,58606672,600001,58606672,1396902,2016-02,4215784943,4215784943,1396902,331,12,1,27.5833,331,56
600001,58606672,600001,58606672,1396902,2016-06,4215784943,4215784943,1396902,332,10,1,33.2,0.0525,114
600001,58606672,600001,58606672,1396902,2017-01,4215784943,4215784943,1396902,0,0,0,0,0,0
600001,58606672,600001,58606672,1396902,2017-03,4620470681,4620470681,1396902,1.99,1,0,1.99,0.0038,1
600001,58606674,600001,58606674,1396902,2016-04,4215784943,4215784943,1396902,8.98,1,0,8.98,0.0029,0
600001,58606674,600001,58606674,1396902,2016-06,4620470681,4620470681,1396902,81.87,6,0,13.645,0.0285,26.95
600001,58606674,600001,58606674,1396902,2017-05,4620470681,4620470681,1396902,2.99,1,0,2.99,0.0016,2
600001,58606674,600001,58606674,1396902,2017-12,4620470681,4620470681,1396902,0,0,0,0,0,0
600001,58606676,600001,58606676,1396902,2016-06,4215784943,4215784943,1396902,33.97,2,0,16.985,0.0197,8.98
600001,58606676,600001,58606676,1396902,2016-11,4215784943,4215784943,1396902,0,0,0,0,0,0
600001,58606676,600001,58606676,1396902,2017-01,4215784943,4215784943,1396902,0,0,0,0,0,0
600001,58606676,600001,58606676,1396902,2017-12,4215784943,4215784943,1396902,0,0,0,0,0,0
600001,58930167,600001,58930167,1396895,2016-01,4497834352,4497834352,1396895,38.11,14,1,2.7221,38.11,13.36
600001,58930167,600001,58930167,1396895,2016-02,120330566,120330566,1396895,"3,402.74","1,223",95,2.7823,"3,402.74","2,591.68"
600001,58930167,600001,58930167,1396895,2016-02,4620470681,4620470681,1396895,"81,042.77","8,923",791,9.0825,"81,042.77","19,208.17"
600001,58930167,600001,58930167,1396895,2016-04,3792577594,3792577594,1396895,36.92,3,2,12.3067,0.0914,8.02
600000,70000075,600000,70000075,4530170387,2017-01,4620470577,4620470577,4530170387,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2016-01,4296224839,4296224839,1396902,881.65,89,6,9.9062,881.65,213.27
600001,58606667,600001,58606667,1396902,2016-03,4394627121,4394627121,1396902,"3,382.09",801,46,4.2223,"3,382.09","2,455.4"
600001,58606667,600001,58606667,1396902,2016-03,4620470525,4620470525,1396902,262.18,93,5,2.8191,262.18,134.86
600001,58606667,600001,58606667,1396902,2016-04,3792577594,3792577594,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2016-04,4620470567,4620470567,1396902,600.44,162,12,3.7064,0.1802,391.05
600001,58606667,600001,58606667,1396902,2016-08,4272994532,4272994532,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2016-08,4620470567,4620470567,1396902,632.82,157,12,4.0307,0.179,327.87
600001,58606667,600001,58606667,1396902,2016-12,4296224839,4296224839,1396902,20.85,7,0,2.9786,0.0324,11
600001,58606667,600001,58606667,1396902,2017-02,4296224839,4296224839,1396902,75.64,14,1,5.4029,0.1623,23
600001,58606667,600001,58606667,1396902,2017-03,4215784943,4215784943,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-03,4620470567,4620470567,1396902,187.63,20,2,9.3815,0.2792,48
600001,58606667,600001,58606667,1396902,2017-04,4394627121,4394627121,1396902,"2,465.79",441,29,5.5914,0.1524,976
600001,58606667,600001,58606667,1396902,2017-05,4620470681,4620470681,1396902,"51,385.67","9,750",589,5.2703,0.2693,"21,742"
600001,58606667,600001,58606667,1396902,2017-06,4446851393,4446851393,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-07,4215784943,4215784943,1396902,0,0,0,0,0,0
600001,58606667,600001,58606667,1396902,2017-08,4394627121,4394627121,1396902,"1,357.9",258,16,5.2632,0.2117,858
600001,58606667,600001,58606667,1396902,2017-08,4620470525,4620470525,1396902,0,0,0,0,0,0
