产品名称,产品类型,是否有竞品
筠连麻将,麻将类,无
水鱼,金流类,无
够级,扑克类,是
秦皇岛麻将（极速159玩法）,麻将类,有
本溪红A,扑克类,是
镇雄麻将,麻将类,有
阜新麻将,麻将类,有
打林条,扑克类,临汾同城游
三反五反,扑克类,
七王五二三,扑克类,无
萍乡麻将,麻将类,是
十三张（十三水）,金流类,有
下搓推倒胡,麻将类,
温岭麻将,麻将类,有
景德镇麻将,麻将类,是
德惠麻将,麻将类,有
繁昌麻将,麻将类,是
吕梁打七,扑克类,同城游
24点,金流类,有
掀牛/掀牛九,扑克类,
棋类:象棋，围棋，五子棋----麻将类:鄂州晃晃，红中赖子杠----扑克类:斗地主，癞子斗地主---,,无
盐城斗地主（四人两幅牌）,扑克类,有
青岛够级,扑克类,是
本溪四副,扑克类,是
金华麻将,麻将类,有
麻将类:三门峡麻将--扑克类:斗地主--扑克类:跑得快--金流类:斗牛--:--:--:,,有
嘉善麻将,麻将类,有
滑水麻将,麻将类,
昆明大厅,综合类,有
憋7,扑克类,无
南通长牌(笃子胡,游胡),扑克类,有
佳木斯麻将,麻将类,有
扑克类:斗地主----:----:,,有
敲三家儿,扑克类,
榆次麻将,麻将类,同城游
锄大地（十三张）,金流类,有
宁波麻将,麻将类,有
推牛十（斗牛）,扑克类,
麻将类:洛阳杠次--扑克类:斗地主--金流类:斗牛--:--:--:--:,,
推倒胡,麻将类,
百色麻将,麻将类,有
本溪马队,扑克类,是
合集,其他,是
德清点子(三副),扑克类,有
日照关门,扑克类,否
山东棋牌,其他,是
梅州麻将,麻将类,是
宁德五十K,扑克类,是
五十K,扑克类,有
红十,扑克类,无
镇雄血战,麻将类,有
宣化一口香,麻将类,有
顶牛,其他,有
龙港麻将,麻将类,有
成都麻将,麻将类,有
青田麻将,麻将类,有
牛十别,扑克类,有
老炮,扑克类,同城游
万州麻将,麻将类,有
通江麻将,麻将类,无
打屁(五十K),扑克类,是
烫调,扑克类,阳城同城游
名山麻将,麻将类,无
德清麻将,麻将类,有
宣红枪,扑克类,
二人转转,麻将类,有
A4A,扑克类,有
翠屏麻将,麻将类,无
二五八麻将,麻将类,有
七王五二三,扑克类,有
曲靖麻将,麻将类,有
棋类:象棋，围棋，五子棋----麻将类:红中癞子杠，晃晃----扑克类:赢三张，打旋----字牌类:,,无
叼青,金流类,有
棋类:象棋，围棋，五子棋----麻将类:赖晃，一赖到底----扑克类:定七----字牌类:说胡子--,,
捉A,扑克类,
拱猪一副牌,扑克类,是
锄大地,金流类,有
毛胡子,字牌类,有
升级,扑克类,
内江甜城麻将,麻将类,有
玉林麻将,麻将类,有
麻将类:安阳麻将--扑克类:南阳斗地主--金流类:斗牛--:--:--:--:,,有
麻将类:新乡麻将--扑克类:斗地主--金流类:斗牛--:--:--:--:,,
填大坑,金流类,是
曲靖飞白板,麻将类,有
小二定主,扑克类,同城游
双鸭山麻将,麻将类,是
打娘娘,扑克类,无
比大小,其他,是
新津麻将,麻将类,无
填坑,金流类,有
3脚包,其他,否
沿滩麻将,麻将类,无
南部麻将,麻将类,无
资阳麻将,麻将类,无
快十,扑克类,无
龙泉驿麻将,麻将类,无
黑枪,扑克类,
肥西麻将,麻将类,是
枣庄麻将,麻将类,否
兴城510K,扑克类,是
牡丹江麻将,麻将类,有
桂林麻将,麻将类,有
景洪麻将,麻将类,有
庐江掼蛋,扑克类,是
省级棋牌平台,综合类,是
